;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"507";"365";"460";"557";"666";"780";"939";"1.128";"1.618";"1.513";"1.820";"1.801";"1.780";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"1.006";"1.608";"1.596";"1.580";"1.553";"1.549";"1.546";"1.563";"1.997";"3.024";"3.713";"3.930";"4.150";
;;"    Mit ärztlicher Tätigkeit";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"5.359";"8.219";"9.308";"9.480";"9.507";"9.654";"9.816";"10.009";"10.495";"11.330";"12.523";"12.926";"13.187";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"1.250";"2.092";"2.212";"2.147";"1.980";"1.897";"1.854";"1.835";"1.672";"1.867";"2.082";"2.259";"2.334";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"1.190";"1.348";"1.547";"1.637";"1.683";"1.722";"1.715";"1.740";"1.461";"1.376";"1.483";"1.568";"1.584";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"1.089";"2.641";"2.764";"2.841";"2.887";"2.947";"2.994";"2.976";"3.392";"3.452";"3.165";"3.173";"3.197";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"894";"1.538";"2.207";"2.230";"2.289";"2.362";"2.448";"2.538";"2.670";"3.017";"3.584";"3.627";"3.689";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"431";"255";"334";"407";"481";"555";"663";"778";"1.090";"1.166";"1.467";"1.462";"1.488";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"505";"345";"244";"218";"187";"171";"142";"142";"210";"452";"742";"837";"895";
;;"       Ambulant";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"2.561";"3.500";"4.028";"4.093";"4.130";"4.196";"4.245";"4.359";"4.519";"4.888";"5.218";"5.301";"5.409";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"107";"149";"189";"197";"184";"149";"134";"161";"97";"86";"109";"118";"127";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"578";"413";"463";"439";"440";"447";"433";"428";"322";"310";"294";"316";"324";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"605";"1.575";"1.552";"1.585";"1.570";"1.568";"1.530";"1.486";"1.521";"1.621";"1.374";"1.373";"1.378";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"538";"955";"1.429";"1.454";"1.512";"1.575";"1.639";"1.684";"1.689";"1.733";"2.009";"2.025";"2.083";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"309";"144";"200";"244";"281";"329";"407";"495";"736";"779";"902";"889";"886";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"424";"264";"195";"174";"143";"128";"102";"105";"154";"359";"530";"580";"611";
;;"          Niedergelassen";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"2.561";"3.287";"3.809";"3.875";"3.901";"3.960";"4.021";"4.082";"4.269";"4.267";"4.108";"4.068";"4.056";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"107";"56";"63";"65";"48";"46";"38";"30";"22";"14";"4";"2";"4";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"578";"350";"403";"385";"379";"368";"360";"337";"244";"153";"87";"88";"85";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"605";"1.523";"1.523";"1.557";"1.542";"1.520";"1.481";"1.444";"1.443";"1.390";"976";"925";"887";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"538";"952";"1.425";"1.450";"1.508";"1.569";"1.634";"1.672";"1.675";"1.646";"1.792";"1.786";"1.806";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"309";"144";"200";"244";"281";"329";"407";"495";"733";"742";"821";"804";"790";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"424";"262";"195";"174";"143";"128";"101";"104";"152";"322";"428";"463";"484";
;;"          Angestellt";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"";"213";"219";"218";"229";"236";"224";"277";"250";"621";"1.110";"1.233";"1.353";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"";"93";"126";"132";"136";"103";"96";"131";"75";"72";"105";"116";"123";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"";"63";"60";"54";"61";"79";"73";"91";"78";"157";"207";"228";"239";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"";"52";"29";"28";"28";"48";"49";"42";"78";"231";"398";"448";"491";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"";"3";"4";"4";"4";"6";"5";"12";"14";"87";"217";"239";"277";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"";"";"";"";"";"";"";"";"3";"37";"81";"85";"96";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"";"2";"";"";"";"";"1";"1";"2";"37";"102";"117";"127";
;;"       Stationär";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"2.226";"3.917";"4.480";"4.600";"4.572";"4.612";"4.735";"4.824";"5.091";"5.531";"6.327";"6.634";"6.808";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"1.014";"1.773";"1.886";"1.841";"1.691";"1.613";"1.599";"1.590";"1.504";"1.723";"1.922";"2.082";"2.150";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"527";"811";"963";"1.067";"1.124";"1.146";"1.173";"1.190";"1.043";"1.010";"1.135";"1.205";"1.211";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"394";"821";"967";"1.007";"1.054";"1.121";"1.188";"1.212";"1.571";"1.559";"1.586";"1.612";"1.648";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"213";"427";"556";"558";"549";"560";"585";"622";"714";"966";"1.233";"1.267";"1.280";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"59";"74";"100";"120";"149";"164";"181";"200";"244";"247";"386";"389";"420";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"19";"11";"8";"7";"5";"8";"9";"10";"15";"26";"65";"79";"99";
;;"       In Behörden/Körperschaften u. a.";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"322";"520";"527";"523";"519";"518";"514";"518";"528";"471";"463";"469";"457";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"38";"142";"84";"69";"65";"62";"62";"52";"58";"46";"39";"44";"46";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"41";"77";"79";"87";"70";"76";"57";"67";"46";"26";"36";"32";"35";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"61";"159";"159";"166";"177";"166";"180";"174";"158";"119";"81";"87";"74";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"120";"119";"176";"169";"170";"169";"163";"167";"188";"192";"183";"168";"164";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"46";"18";"25";"29";"33";"40";"46";"51";"70";"75";"101";"107";"107";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"16";"5";"4";"3";"4";"5";"6";"7";"8";"13";"23";"31";"31";
;;"       In sonstigen Bereichen";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"250";"282";"273";"264";"286";"328";"322";"308";"357";"440";"515";"522";"513";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"91";"28";"53";"40";"40";"73";"59";"32";"13";"12";"12";"15";"11";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"44";"47";"42";"44";"49";"53";"52";"55";"50";"30";"18";"15";"14";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"29";"86";"86";"83";"86";"92";"96";"104";"142";"153";"124";"101";"97";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"23";"37";"46";"49";"58";"58";"61";"65";"79";"126";"159";"167";"162";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"17";"19";"9";"14";"18";"22";"29";"32";"40";"65";"78";"77";"75";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"46";"65";"37";"34";"35";"30";"25";"20";"33";"54";"124";"147";"154";
;;"    Ohne ärztliche Tätigkeit";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"952";"2.107";"2.397";"2.511";"2.602";"2.653";"2.732";"2.808";"3.222";"3.839";"4.120";"4.179";"4.278";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"115";"268";"328";"339";"318";"269";"245";"229";"158";"256";"227";"227";"199";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"99";"144";"190";"212";"238";"244";"242";"226";"194";"140";"160";"125";"127";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"75";"183";"208";"240";"263";"292";"313";"332";"310";"264";"203";"183";"166";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"86";"139";"193";"208";"232";"245";"252";"250";"245";"260";"206";"212";"239";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"76";"110";"126";"150";"185";"225";"276";"350";"528";"347";"353";"339";"292";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"501";"1.263";"1.352";"1.362";"1.366";"1.378";"1.404";"1.421";"1.787";"2.572";"2.971";"3.093";"3.255";
;"    Thüringen";" Tätigkeitsbereiche insgesamt";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"6.833";"8.142";"8.350";"8.507";"8.769";"8.900";"9.109";"9.961";"11.149";"12.530";"12.818";"13.115";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"1.769";"1.996";"1.975";"1.847";"1.826";"1.696";"1.622";"1.348";"1.739";"2.229";"2.327";"2.363";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"937";"1.239";"1.275";"1.306";"1.333";"1.352";"1.368";"1.239";"918";"1.162";"1.221";"1.321";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"1.709";"1.663";"1.775";"1.931";"2.084";"2.221";"2.315";"2.675";"2.680";"2.231";"2.168";"2.136";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"1.892";"2.326";"2.275";"2.205";"2.118";"1.984";"1.876";"1.703";"2.365";"2.746";"2.779";"2.800";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"276";"540";"630";"737";"861";"1.045";"1.216";"1.492";"768";"1.202";"1.243";"1.304";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"250";"378";"420";"481";"547";"602";"712";"1.504";"2.679";"2.960";"3.080";"3.191";
;;"    Mit ärztlicher Tätigkeit";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"6.346";"7.209";"7.327";"7.373";"7.558";"7.604";"7.692";"7.806";"8.268";"9.160";"9.296";"9.473";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"1.721";"1.866";"1.845";"1.680";"1.679";"1.572";"1.488";"1.219";"1.585";"1.998";"2.099";"2.131";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"918";"1.198";"1.216";"1.240";"1.271";"1.284";"1.295";"1.150";"852";"1.069";"1.108";"1.192";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"1.669";"1.616";"1.719";"1.879";"2.031";"2.161";"2.248";"2.605";"2.609";"2.177";"2.097";"2.066";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"1.788";"2.163";"2.133";"2.077";"1.998";"1.868";"1.772";"1.633";"2.274";"2.659";"2.690";"2.710";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"196";"322";"368";"445";"517";"660";"801";"986";"589";"945";"988";"1.066";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"54";"44";"46";"52";"62";"59";"88";"213";"359";"312";"314";"308";
;;"       Ambulant";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"2.663";"3.121";"3.169";"3.228";"3.287";"3.311";"3.348";"3.328";"3.325";"3.523";"3.560";"3.607";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"350";"192";"175";"143";"155";"127";"116";"82";"66";"125";"148";"170";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"418";"565";"532";"498";"443";"405";"380";"270";"195";"241";"265";"277";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"861";"890";"953";"1.036";"1.122";"1.199";"1.219";"1.193";"1.082";"912";"878";"856";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"919";"1.261";"1.267";"1.250";"1.213";"1.125";"1.047";"927";"1.301";"1.392";"1.399";"1.383";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"73";"172";"199";"253";"299";"401";"506";"671";"364";"594";"608";"659";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"42";"41";"43";"48";"55";"54";"80";"185";"317";"259";"262";"262";
;;"          Niedergelassen";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"2.658";"3.061";"3.086";"3.138";"3.178";"3.212";"3.237";"3.181";"2.935";"2.707";"2.632";"2.573";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"346";"154";"119";"85";"79";"66";"55";"39";"16";"10";"12";"11";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"418";"553";"516";"477";"422";"381";"348";"228";"141";"96";"97";"100";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"861";"887";"949";"1.032";"1.118";"1.191";"1.207";"1.150";"939";"683";"622";"570";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"918";"1.255";"1.261";"1.244";"1.206";"1.121";"1.043";"921";"1.224";"1.213";"1.197";"1.169";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"73";"171";"198";"252";"298";"399";"504";"661";"335";"496";"500";"531";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"42";"41";"43";"48";"55";"54";"80";"182";"280";"209";"204";"192";
;;"          Angestellt";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"5";"60";"83";"90";"109";"99";"111";"147";"390";"816";"928";"1.034";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"4";"38";"56";"58";"76";"61";"61";"43";"50";"115";"136";"159";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"";"12";"16";"21";"21";"24";"32";"42";"54";"145";"168";"177";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"";"3";"4";"4";"4";"8";"12";"43";"143";"229";"256";"286";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"1";"6";"6";"6";"7";"4";"4";"6";"77";"179";"202";"214";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"";"1";"1";"1";"1";"2";"2";"10";"29";"98";"108";"128";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"";"";"";"";"";"";"";"3";"37";"50";"58";"70";
;;"       Stationär";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"3.112";"3.523";"3.562";"3.552";"3.677";"3.687";"3.752";"4.033";"4.514";"5.170";"5.263";"5.365";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"1.298";"1.633";"1.627";"1.496";"1.488";"1.412";"1.349";"1.122";"1.497";"1.842";"1.913";"1.914";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"450";"554";"603";"666";"754";"803";"846";"844";"638";"796";"810";"876";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"650";"589";"615";"682";"739";"780";"845";"1.250";"1.394";"1.178";"1.132";"1.122";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"613";"631";"590";"562";"541";"512";"506";"558";"780";"1.048";"1.080";"1.112";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"91";"113";"124";"142";"149";"176";"200";"245";"175";"270";"291";"308";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"10";"3";"3";"4";"6";"4";"6";"14";"30";"36";"37";"33";
;;"       In Behörden/Körperschaften u. a.";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"441";"500";"458";"475";"470";"467";"456";"301";"267";"268";"258";"259";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"64";"35";"36";"32";"26";"25";"15";"10";"12";"23";"22";"25";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"46";"68";"61";"65";"61";"59";"55";"18";"8";"11";"12";"17";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"122";"119";"119";"127";"136";"141";"149";"116";"78";"41";"33";"31";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"185";"245";"206";"210";"197";"184";"173";"107";"127";"145";"138";"126";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"23";"33";"36";"41";"49";"57";"63";"49";"40";"46";"51";"58";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"1";"";"";"";"1";"1";"1";"1";"2";"2";"2";"2";
;;"       In sonstigen Bereichen";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"130";"65";"138";"118";"124";"139";"136";"144";"162";"199";"215";"242";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"9";"6";"7";"9";"10";"8";"8";"5";"10";"8";"16";"22";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"4";"11";"20";"11";"13";"17";"14";"18";"11";"21";"21";"22";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"36";"18";"32";"34";"34";"41";"35";"46";"55";"46";"54";"57";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"71";"26";"70";"55";"47";"47";"46";"41";"66";"74";"73";"89";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"9";"4";"9";"9";"20";"26";"32";"21";"10";"35";"38";"41";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"1";"";"";"";"";"";"1";"13";"10";"15";"13";"11";
;;"    Ohne ärztliche Tätigkeit";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"487";"933";"1.023";"1.134";"1.211";"1.296";"1.417";"2.155";"2.881";"3.370";"3.522";"3.642";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"48";"130";"130";"167";"147";"124";"134";"129";"154";"231";"228";"232";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"19";"41";"59";"66";"62";"68";"73";"89";"66";"93";"113";"129";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"40";"47";"56";"52";"53";"60";"67";"70";"71";"54";"71";"70";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"104";"163";"142";"128";"120";"116";"104";"70";"91";"87";"89";"90";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"80";"218";"262";"292";"344";"385";"415";"506";"179";"257";"255";"238";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"196";"334";"374";"429";"485";"543";"624";"1.291";"2.320";"2.648";"2.766";"2.883";
;"    Früheres Bundesgebiet, ab 1991 mit Berlin-Ost";" Tätigkeitsbereiche insgesamt";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"158.387";"258.647";"289.682";"296.370";"302.577";"308.170";"312.804";"317.820";"343.034";"374.989";"413.915";"422.839";"431.055";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"37.085";"63.680";"64.742";"64.103";"60.727";"58.260";"54.999";"53.354";"46.943";"54.923";"65.328";"67.698";"69.090";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"28.565";"39.643";"45.398";"47.586";"49.931";"51.557";"52.227";"51.575";"42.660";"37.379";"41.898";"42.402";"43.880";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"28.848";"67.362";"75.075";"77.974";"80.602";"82.608";"84.460";"86.331";"98.520";"96.851";"82.901";"82.185";"81.280";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"28.135";"39.602";"53.917";"55.136";"57.677";"59.967";"62.310";"64.311";"74.038";"85.011";"97.389";"98.811";"99.725";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"14.700";"10.846";"12.999";"14.389";"16.316";"18.587";"21.805";"24.792";"34.373";"36.563";"45.150";"45.400";"45.987";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"21.054";"37.514";"37.551";"37.182";"37.324";"37.191";"37.003";"37.457";"46.500";"64.262";"81.249";"86.343";"91.093";
;;"    Mit ärztlicher Tätigkeit";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"135.586";"208.202";"233.812";"238.268";"241.288";"244.775";"248.538";"251.810";"263.152";"286.768";"319.439";"325.636";"331.236";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"34.715";"56.548";"57.286";"56.151";"52.494";"50.571";"48.284";"46.885";"40.118";"47.982";"57.964";"60.142";"61.587";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"26.386";"35.813";"40.654";"42.431";"43.936";"45.092";"45.971";"45.106";"36.263";"32.415";"37.036";"37.495";"38.738";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"26.890";"62.705";"69.637";"72.045";"73.861";"75.536";"77.195";"78.727";"88.695";"88.338";"76.491";"75.826";"75.087";
