

Kopieren Sie folgende Adresse und fügen Sie sie in Ihren Browser ein, um diese gestaltbare Tabelle erneut aufzurufen. (Der Link ist 7 Tage gültig.)
http://www.gbe-bund.de/gbe10/i?i=656:36406946D
 
Bei den Ärztekammern registrierte Ärztinnen und Ärzte mit Gebiets- und Facharztbezeichnung (absolut, je 100.000 Einwohner und Einwohner je Arzt). Gliederungsmerkmale: Jahre, Region, Alter, Geschlecht, Gebiets-/Facharztbezeichnung, Tätigkeitsbereich                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
****************************************************************************************************
                                                                                                    
Diese Tabelle bezieht sich auf:
Region:;Deutschland
Geschlecht:;Beide Geschlechter
Tätigkeitsbereich:;Tätigkeitsbereiche insgesamt
Darstellung:;Anzahl Ärzte/Ärztinnen
""
;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"       Transfusionsmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"114";"134";"130";"147";"216";"314";"382";"436";"460";"506";"524";"573";"593";"619";"629";"655";"671";"677";"685";"708";"729";"745";"770";"783";"795";"808";"806";
;"    Urologie";".";".";".";".";".";".";".";".";".";".";".";".";"3.633";"3.806";"4.005";"4.143";"4.263";"4.475";"4.654";"4.812";"4.982";"5.154";"5.303";"5.478";"5.638";"5.841";"5.969";"6.156";"6.300";"6.467";"6.600";"6.751";"6.903";"7.029";"7.198";"7.344";"7.492";"7.656";"7.805";
;"       Urologie";".";".";".";".";".";".";".";".";".";".";".";".";"3.633";"3.806";"4.005";"4.143";"4.263";"4.475";"4.654";"4.812";"4.982";"5.154";"5.303";"5.478";"5.638";"5.841";"5.969";"6.156";"6.300";"6.467";"6.600";"6.751";"6.903";"7.029";"7.198";"7.344";"7.492";"7.656";"7.805";
;"    Sonstige Gebiete";".";".";".";".";".";".";".";".";".";".";".";".";"604";"702";"710";"720";"762";"697";"626";"611";"619";"606";"615";"575";"572";"578";"580";"588";"586";"573";"556";"551";"539";"551";"547";"543";"539";"516";"515";
;"       Sozialhygiene";".";".";".";".";".";".";".";".";".";".";".";".";"233";"294";"228";"271";"281";"273";"268";"264";"270";"261";"265";"248";"244";"241";"243";"241";"241";"236";"227";"224";"218";"218";"215";"214";"209";"210";"206";
;"       Sportmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"303";"306";"306";"253";"235";"235";"192";"182";"182";"183";"186";"172";"172";"174";"173";"183";"185";"183";"177";"178";"174";"190";"190";"187";"188";"165";"168";
;"       Sonstige Facharztbezeichnungen";".";".";".";".";".";".";".";".";".";".";".";".";"68";"102";"176";"196";"246";"189";"166";"165";"167";"162";"164";"155";"156";"163";"164";"164";"160";"154";"152";"149";"147";"143";"142";"142";"142";"141";"141";
;"    Ohne Gebiet";".";".";".";".";".";".";".";".";".";".";".";".";"126.923";"130.895";"133.136";"134.896";"137.355";"132.651";"131.755";"130.401";"129.050";"128.778";"127.409";"126.466";"126.182";"125.216";"121.351";"122.799";"122.726";"124.678";"126.388";"129.007";"132.048";"134.104";"138.877";"143.116";"140.955";"143.690";"145.859";
;"       Ohne Facharztbezeichnung";".";".";".";".";".";".";".";".";".";".";".";".";"123.370";"125.279";"127.367";"125.842";"124.384";"121.229";"120.729";"119.877";"119.104";"119.045";"117.610";"117.006";"116.899";"116.243";"114.635";"115.332";"115.537";"117.702";"119.546";"122.320";"125.493";"127.730";"132.611";"136.991";"135.018";"137.859";"140.636";
;"       Praktische Ärztin/Praktischer Arzt";".";".";".";".";".";".";".";".";".";".";".";".";"3.553";"5.616";"5.769";"9.054";"12.971";"11.422";"11.026";"10.524";"9.946";"9.733";"9.799";"9.460";"9.283";"8.973";"6.716";"7.467";"7.189";"6.976";"6.842";"6.687";"6.555";"6.374";"6.266";"6.125";"5.937";"5.831";"5.223";
"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";".";".";".";".";".";".";".";".";".";".";".";"74.503";"76.283";"77.028";"77.977";"75.970";"75.378";"71.515";"68.702";"64.930";"62.729";"60.838";"58.079";"56.943";"57.175";"54.963";"57.096";"57.937";"60.125";"62.034";"64.739";"67.501";"68.504";"73.634";"76.329";"77.495";"79.929";"81.596";
;"    Allgemeinmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"1.660";"1.544";"1.372";"1.187";"846";"928";"920";"1.195";"1.271";"1.294";"1.327";"1.392";"1.190";"1.058";"861";"749";"612";"585";"550";"493";"443";"344";"414";"448";"534";"569";"565";
;"       Allgemeinmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"1.660";"1.544";"1.372";"1.187";"846";"928";"920";"1.195";"1.271";"1.294";"1.327";"1.392";"1.190";"1.058";"861";"749";"612";"585";"550";"493";"443";"344";"414";"448";"534";"569";"565";
;"    Anästhesiologie";".";".";".";".";".";".";".";".";".";".";".";".";"1.164";"1.208";"1.197";"1.181";"988";"980";"885";"895";"804";"725";"664";"557";"503";"532";"527";"543";"571";"641";"651";"673";"719";"720";"782";"777";"906";"941";"1.015";
;"       Anästhesiologie";".";".";".";".";".";".";".";".";".";".";".";".";"1.164";"1.208";"1.197";"1.181";"988";"980";"885";"895";"804";"725";"664";"557";"503";"532";"527";"543";"571";"641";"651";"673";"719";"720";"782";"777";"906";"941";"1.015";
;"    Anatomie";".";".";".";".";".";".";".";".";".";".";".";".";"1";"4";"4";"2";"3";"4";"6";"5";"5";"6";"2";"";"1";"1";"";"";"";"";"";"";"";"";"3";"2";"7";"10";"8";
;"       Anatomie";".";".";".";".";".";".";".";".";".";".";".";".";"1";"4";"4";"2";"3";"4";"6";"5";"5";"6";"2";"";"1";"1";"";"";"";"";"";"";"";"";"3";"2";"7";"10";"8";
;"    Arbeitsmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"111";"110";"101";"88";"69";"71";"69";"63";"53";"48";"61";"46";"45";"41";"36";"26";"20";"19";"16";"31";"29";"21";"14";"24";"24";"25";"34";
;"       Arbeitsmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"111";"110";"101";"88";"69";"71";"69";"63";"53";"48";"61";"46";"45";"41";"36";"26";"20";"19";"16";"31";"29";"21";"14";"24";"24";"25";"34";
;"    Augenheilkunde";".";".";".";".";".";".";".";".";".";".";".";".";"548";"547";"597";"560";"517";"586";"581";"555";"460";"387";"356";"318";"289";"275";"255";"282";"273";"277";"291";"274";"253";"250";"283";"294";"356";"392";"398";
;"       Augenheilkunde";".";".";".";".";".";".";".";".";".";".";".";".";"548";"547";"597";"560";"517";"586";"581";"555";"460";"387";"356";"318";"289";"275";"255";"282";"273";"277";"291";"274";"253";"250";"283";"294";"356";"392";"398";
;"    Biochemie";".";".";".";".";".";".";".";".";".";".";".";".";"8";"7";"3";"2";"2";"1";"2";"2";"2";"";"";"";"";"";"";"1";"2";"1";"1";"";"";"";"";"";"";"";"";
;"       Biochemie";".";".";".";".";".";".";".";".";".";".";".";".";"8";"7";"3";"2";"2";"1";"2";"2";"2";"";"";"";"";"";"";"1";"2";"1";"1";"";"";"";"";"";"";"";"";
;"    Chirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"1.038";"1.012";"977";"928";"832";"921";"800";"777";"726";"642";"688";"651";"695";"723";"608";"630";"709";"731";"790";"821";"714";"597";"662";"614";"809";"937";"1.074";
;"       Allgemeinchirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"674";"636";"592";"548";"499";"547";"467";"456";"423";"390";"463";"469";"502";"532";"451";"457";"486";"463";"478";"441";"319";"185";"147";"120";"117";"116";"141";
;"       Gefäßchirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"2";"2";"4";"13";"22";"20";"23";"29";"49";"60";"76";
;"       Herzchirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"1";"4";"3";"2";"2";"7";"11";"12";"19";"11";"13";"16";"14";"8";"8";"7";"13";"10";"17";"24";"18";"18";"16";"16";"19";"12";"17";
;"       Kinderchirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"23";"14";"14";"17";"15";"12";"12";"5";"3";"6";"5";"6";"4";"7";"4";"8";"6";"9";"10";"16";"13";"9";"10";"11";"16";"11";"16";
;"       Orthopädie und Unfallchirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"340";"358";"368";"361";"316";"355";"306";"299";"272";"220";"195";"147";"153";"157";"127";"139";"172";"216";"242";"281";"289";"279";"328";"291";"401";"471";"522";
;"       Plastische und Ästhetische Chirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"4";"5";"9";"15";"12";"13";"22";"19";"18";"17";"27";"27";"35";"38";"36";"34";"41";"30";"34";"52";"68";
;"       Thoraxchirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"2";"2";"4";"6";"7";"6";"6";"11";"15";"16";
;"       Viszeralchirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"2";"2";"2";"4";"11";"45";"91";"111";"162";"200";"218";
;"    Frauenheilkunde und Geburtshilfe";".";".";".";".";".";".";".";".";".";".";".";".";"774";"746";"775";"773";"750";"781";"733";"680";"620";"552";"579";"576";"584";"575";"511";"563";"564";"550";"536";"551";"562";"572";"640";"638";"741";"769";"756";
;"       Frauenheilkunde und Geburtshilfe";".";".";".";".";".";".";".";".";".";".";".";".";"774";"746";"775";"773";"750";"781";"733";"680";"620";"552";"579";"576";"584";"575";"511";"563";"564";"550";"536";"551";"562";"572";"640";"638";"741";"769";"756";
;"    Hals-Nasen-Ohrenheilkunde";".";".";".";".";".";".";".";".";".";".";".";".";"439";"438";"472";"481";"461";"469";"422";"434";"363";"318";"318";"303";"274";"271";"223";"230";"237";"246";"248";"247";"226";"235";"242";"301";"299";"285";"282";
;"       Hals-Nasen-Ohrenheilkunde";".";".";".";".";".";".";".";".";".";".";".";".";"439";"438";"472";"481";"461";"467";"422";"434";"362";"317";"314";"300";"273";"268";"219";"227";"237";"245";"247";"246";"224";"235";"240";"299";"297";"285";"281";
;"       Sprach-, Stimm- und kindliche Hörstörungen";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"2";"";"";"1";"1";"4";"3";"1";"3";"4";"3";"";"1";"1";"1";"2";"";"2";"2";"2";"";"1";
;"    Haut- und Geschlechtskrankheiten";".";".";".";".";".";".";".";".";".";".";".";".";"305";"295";"340";"365";"358";"389";"377";"355";"357";"307";"325";"315";"326";"302";"312";"323";"317";"330";"294";"254";"213";"203";"221";"199";"219";"249";"244";
;"       Haut- und Geschlechtskrankheiten";".";".";".";".";".";".";".";".";".";".";".";".";"305";"295";"340";"365";"358";"389";"377";"355";"357";"307";"325";"315";"326";"302";"312";"323";"317";"330";"294";"254";"213";"203";"221";"199";"219";"249";"244";
;"    Humangenetik";".";".";".";".";".";".";".";".";".";".";".";".";"5";"5";"2";"4";"11";"7";"5";"4";"2";"5";"6";"4";"3";"6";"8";"7";"6";"8";"10";"14";"8";"7";"10";"8";"10";"11";"11";
;"       Humangenetik";".";".";".";".";".";".";".";".";".";".";".";".";"5";"5";"2";"4";"11";"7";"5";"4";"2";"5";"6";"4";"3";"6";"8";"7";"6";"8";"10";"14";"8";"7";"10";"8";"10";"11";"11";
;"    Hygiene und Umweltmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"19";"17";"11";"6";"4";"4";"6";"6";"5";"4";"4";"4";"2";"2";"2";"6";"3";"1";"";"1";"1";"2";"2";"1";"1";"2";"3";
;"       Hygiene und Umweltmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"19";"17";"11";"6";"4";"4";"6";"6";"5";"4";"4";"4";"2";"2";"2";"6";"3";"1";"";"1";"1";"2";"2";"1";"1";"2";"3";
;"    Innere Medizin";".";".";".";".";".";".";".";".";".";".";".";".";"1.460";"1.507";"1.498";"1.338";"1.154";"1.326";"1.150";"1.078";"932";"823";"864";"784";"817";"832";"742";"826";"837";"850";"958";"1.127";"1.316";"1.360";"1.523";"1.512";"1.846";"2.019";"2.194";
;"       Innere Medizin";".";".";".";".";".";".";".";".";".";".";".";".";"1.420";"1.472";"1.468";"1.314";"1.140";"1.314";"1.147";"1.075";"931";"823";"864";"784";"817";"832";"738";"818";"814";"800";"888";"1.048";"1.184";"1.166";"1.259";"1.251";"1.492";"1.625";"1.792";
;"       Innere Medizin und Angiologie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"2";"6";"3";"2";"4";"8";"5";"6";
;"       Innere Medizin und Endokrinologie und Diabetologie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"3";"1";"3";"7";"6";"12";"8";"10";"6";"8";
;"       Innere Medizin und Gastroenterologie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"2";"5";"5";"6";"5";"5";"20";"29";"22";"42";"49";"41";
;"       Innere Medizin und Geriatrie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"1";"1";"";"1";"1";"1";"";
;"       Innere Medizin und Hämatologie und Onkologie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"1";"1";"10";"8";"10";"12";"27";"39";"31";"44";"36";"35";
;"       Innere Medizin und Kardiologie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"7";"18";"37";"35";"67";"86";"114";"123";"184";"216";"234";
;"       Innere Medizin und Nephrologie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"2";"3";"7";"9";"12";"20";"29";"33";"29";"19";"27";"34";
;"       Innere Medizin und Pneumologie";".";".";".";".";".";".";".";".";".";".";".";".";"40";"35";"30";"24";"14";"12";"3";"3";"1";"";"";"";"";"";"";"";"4";"7";"7";"10";"12";"17";"30";"33";"34";"36";"30";
;"       Innere Medizin und Rheumatologie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"2";"";"1";"1";"2";"5";"5";"10";"12";"18";"14";
;"    Kinder- und Jugendmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"731";"747";"688";"687";"594";"593";"504";"423";"333";"286";"316";"327";"367";"411";"384";"421";"478";"567";"589";"580";"568";"576";"654";"637";"751";"734";"731";
;"       Kinder- und Jugendmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"731";"747";"688";"687";"594";"593";"504";"423";"333";"286";"316";"327";"367";"411";"384";"421";"478";"567";"589";"580";"568";"576";"654";"637";"751";"734";"731";
;"    Kinder- und Jugendpsychiatrie und -psychotherapie";".";".";".";".";".";".";".";".";".";".";".";".";"20";"17";"24";"27";"32";"28";"40";"43";"32";"28";"28";"25";"24";"27";"22";"28";"28";"36";"34";"47";"65";"59";"44";"44";"61";"64";"67";
;"       Kinder- und Jugendpsychiatrie und -psychotherapie";".";".";".";".";".";".";".";".";".";".";".";".";"20";"17";"24";"27";"32";"28";"40";"43";"32";"28";"28";"25";"24";"27";"22";"28";"28";"36";"34";"47";"65";"59";"44";"44";"61";"64";"67";
;"    Laboratoriumsmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"29";"26";"33";"23";"22";"26";"23";"18";"14";"18";"27";"23";"16";"11";"10";"6";"10";"17";"20";"17";"11";"11";"14";"10";"15";"13";"14";
;"       Laboratoriumsmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"29";"26";"33";"23";"22";"26";"23";"18";"14";"18";"27";"23";"16";"11";"10";"6";"10";"17";"20";"17";"11";"11";"14";"10";"15";"13";"14";
;"    Mikrobiologie, Virologie, Infektionsepidemiologie";".";".";".";".";".";".";".";".";".";".";".";".";"32";"29";"37";"26";"23";"30";"21";"17";"21";"17";"9";"11";"11";"10";"15";"19";"17";"24";"18";"15";"19";"15";"18";"15";"21";"14";"18";
;"       Mikrobiologie, Virologie und Infektionsepidemiologie";".";".";".";".";".";".";".";".";".";".";".";".";"32";"29";"37";"26";"23";"30";"21";"17";"21";"17";"9";"11";"11";"10";"15";"19";"17";"24";"18";"15";"19";"15";"18";"15";"21";"14";"18";
;"    Mund-Kiefer-Gesichtschirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"49";"52";"62";"66";"56";"57";"47";"36";"28";"23";"16";"16";"11";"18";"22";"23";"24";"26";"20";"20";"17";"12";"9";"13";"11";"13";"9";
;"       Mund-Kiefer-Gesichtschirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"49";"52";"62";"66";"56";"57";"47";"36";"28";"23";"16";"16";"11";"18";"22";"23";"24";"26";"20";"20";"17";"12";"9";"13";"11";"13";"9";
;"    Nervenheilkunde";".";".";".";".";".";".";".";".";".";".";".";".";"324";"306";"255";"191";"115";"84";"47";"20";"9";"2";"2";"4";"6";"6";"3";"1";"3";"1";"2";"2";"4";"2";"3";"";"1";"1";"";
;"       Nervenheilkunde";".";".";".";".";".";".";".";".";".";".";".";".";"324";"306";"255";"191";"115";"84";"47";"20";"9";"2";"2";"4";"6";"6";"3";"1";"3";"1";"2";"2";"4";"2";"3";"";"1";"1";"";
;"    Neurochirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"35";"33";"37";"37";"37";"49";"42";"34";"25";"33";"38";"34";"39";"28";"34";"44";"35";"35";"41";"46";"51";"70";"68";"65";"71";"78";"85";
;"       Neurochirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"35";"33";"37";"37";"37";"49";"42";"34";"25";"33";"38";"34";"39";"28";"34";"44";"35";"35";"41";"46";"51";"70";"68";"65";"71";"78";"85";
;"    Neurologie";".";".";".";".";".";".";".";".";".";".";".";".";"109";"139";"201";"247";"237";"259";"245";"257";"237";"201";"199";"188";"208";"194";"190";"190";"186";"180";"217";"225";"249";"274";"314";"272";"336";"378";"424";
;"       Neurologie";".";".";".";".";".";".";".";".";".";".";".";".";"109";"139";"201";"247";"237";"259";"245";"257";"237";"201";"199";"188";"208";"194";"190";"190";"186";"180";"217";"225";"249";"274";"314";"272";"336";"378";"424";
;"    Nuklearmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"48";"57";"46";"48";"44";"42";"43";"43";"42";"38";"37";"32";"41";"48";"35";"33";"24";"23";"24";"26";"22";"17";"22";"24";"37";"41";"33";
;"       Nuklearmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"48";"57";"46";"48";"44";"42";"43";"43";"42";"38";"37";"32";"41";"48";"35";"33";"24";"23";"24";"26";"22";"17";"22";"24";"37";"41";"33";
;"    Öffentliches Gesundheitswesen";".";".";".";".";".";".";".";".";".";".";".";".";"14";"10";"7";"13";"7";"4";"2";"3";"2";"2";"2";"1";"1";"";"";"1";"2";"3";"3";"4";"2";"1";"2";"4";"4";"1";"2";
;"       Öffentliches Gesundheitswesen";".";".";".";".";".";".";".";".";".";".";".";".";"14";"10";"7";"13";"7";"4";"2";"3";"2";"2";"2";"1";"1";"";"";"1";"2";"3";"3";"4";"2";"1";"2";"4";"4";"1";"2";
;"    Pathologie";".";".";".";".";".";".";".";".";".";".";".";".";"74";"66";"64";"52";"43";"34";"22";"22";"17";"18";"18";"14";"11";"16";"14";"18";"11";"18";"23";"34";"39";"21";"29";"28";"29";"35";"48";
;"       Neuropathologie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"1";"5";"3";"1";"";"3";"1";"3";"2";"";"";"2";"2";"3";"2";"3";"1";"4";"3";"1";"1";"1";"";"3";"5";
;"       Pathologie";".";".";".";".";".";".";".";".";".";".";".";".";"74";"66";"63";"47";"40";"33";"22";"19";"16";"15";"16";"14";"11";"14";"12";"15";"9";"15";"22";"30";"36";"20";"28";"27";"29";"32";"43";
;"    Pharmakologie";".";".";".";".";".";".";".";".";".";".";".";".";"29";"32";"32";"24";"14";"14";"15";"13";"12";"9";"5";"7";"10";"10";"7";"7";"5";"4";"4";"6";"7";"6";"6";"5";"5";"3";"2";
;"       Klinische Pharmakologie";".";".";".";".";".";".";".";".";".";".";".";".";"2";"2";"3";"4";"2";"4";"5";"5";"7";"5";"3";"7";"10";"10";"7";"6";"4";"4";"4";"3";"3";"3";"3";"4";"3";"2";"2";
;"       Pharmakologie und Toxikologie";".";".";".";".";".";".";".";".";".";".";".";".";"27";"30";"29";"20";"12";"10";"10";"8";"5";"4";"2";"";"";"";"";"1";"1";"";"";"3";"4";"3";"3";"1";"2";"1";"";
;"    Physikalische und Rehabilitative Medizin";".";".";".";".";".";".";".";".";".";".";".";".";"27";"31";"26";"24";"29";"37";"28";"28";"16";"22";"21";"10";"8";"10";"7";"10";"5";"5";"7";"7";"9";"11";"15";"19";"16";"15";"21";
;"       Physikalische und Rehabilitative Medizin";".";".";".";".";".";".";".";".";".";".";".";".";"27";"31";"26";"24";"29";"37";"28";"28";"16";"22";"21";"10";"8";"10";"7";"10";"5";"5";"7";"7";"9";"11";"15";"19";"16";"15";"21";
;"    Physiologie";".";".";".";".";".";".";".";".";".";".";".";".";"23";"23";"14";"10";"14";"13";"9";"6";"4";"3";"1";"";"1";"2";"";"";"1";"1";"3";"";"";"1";"1";"1";"3";"2";"2";
;"       Physiologie";".";".";".";".";".";".";".";".";".";".";".";".";"23";"23";"14";"10";"14";"13";"9";"6";"4";"3";"1";"";"1";"2";"";"";"1";"1";"3";"";"";"1";"1";"1";"3";"2";"2";
;"    Psychiatrie und Psychotherapie";".";".";".";".";".";".";".";".";".";".";".";".";"163";"180";"195";"226";"244";"274";"281";"251";"241";"206";"187";"133";"113";"116";"91";"95";"81";"79";"93";"103";"138";"129";"127";"148";"158";"205";"196";
;"       Psychiatrie und Psychotherapie";".";".";".";".";".";".";".";".";".";".";".";".";"163";"180";"195";"226";"244";"274";"281";"251";"241";"206";"187";"133";"113";"116";"91";"95";"81";"79";"93";"103";"138";"129";"127";"148";"158";"205";"196";
;"    Psychosomatische Medizin und Psychotherapie";".";".";".";".";".";".";".";".";".";".";".";".";"1";"1";"1";"5";"3";"5";"16";"14";"9";"9";"5";"8";"1";"5";"7";"5";"5";"11";"7";"10";"12";"7";"7";"12";"13";"16";"24";
;"       Psychosomatische Medizin und Psychotherapie";".";".";".";".";".";".";".";".";".";".";".";".";"1";"1";"1";"5";"3";"5";"16";"14";"9";"9";"5";"8";"1";"5";"7";"5";"5";"11";"7";"10";"12";"7";"7";"12";"13";"16";"24";
;"    Radiologie";".";".";".";".";".";".";".";".";".";".";".";".";"324";"315";"323";"341";"275";"283";"228";"221";"173";"150";"136";"117";"128";"109";"133";"149";"155";"161";"180";"218";"236";"239";"254";"313";"381";"477";"535";
;"       Radiologie";".";".";".";".";".";".";".";".";".";".";".";".";"324";"315";"323";"341";"275";"283";"228";"221";"173";"150";"136";"117";"128";"109";"133";"149";"155";"161";"180";"218";"236";"239";"254";"313";"381";"477";"535";
;"    Rechtsmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"17";"15";"8";"10";"11";"9";"7";"8";"3";"5";"4";"3";"2";"3";"4";"5";"4";"7";"8";"9";"11";"11";"9";"11";"16";"15";"19";
;"       Rechtsmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"17";"15";"8";"10";"11";"9";"7";"8";"3";"5";"4";"3";"2";"3";"4";"5";"4";"7";"8";"9";"11";"11";"9";"11";"16";"15";"19";
;"    Strahlentherapie";".";".";".";".";".";".";".";".";".";".";".";".";"9";"20";"22";"27";"32";"32";"30";"36";"41";"41";"38";"32";"35";"37";"24";"17";"17";"19";"23";"26";"29";"31";"46";"40";"34";"52";"70";
;"       Strahlentherapie";".";".";".";".";".";".";".";".";".";".";".";".";"9";"20";"22";"27";"32";"32";"30";"36";"41";"41";"38";"32";"35";"37";"24";"17";"17";"19";"23";"26";"29";"31";"46";"40";"34";"52";"70";
;"    Transfusionsmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"13";"12";"8";"9";"10";"21";"20";"17";"14";"12";"10";"17";"7";"7";"7";"8";"4";"2";"1";"3";"6";"6";"7";"4";"3";"6";"5";
;"       Transfusionsmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"13";"12";"8";"9";"10";"21";"20";"17";"14";"12";"10";"17";"7";"7";"7";"8";"4";"2";"1";"3";"6";"6";"7";"4";"3";"6";"5";
;"    Urologie";".";".";".";".";".";".";".";".";".";".";".";".";"212";"215";"214";"216";"200";"227";"213";"180";"174";"160";"153";"128";"132";"153";"140";"136";"135";"140";"149";"177";"196";"197";"223";"230";"251";"285";"285";
;"       Urologie";".";".";".";".";".";".";".";".";".";".";".";".";"212";"215";"214";"216";"200";"227";"213";"180";"174";"160";"153";"128";"132";"153";"140";"136";"135";"140";"149";"177";"196";"197";"223";"230";"251";"285";"285";
;"    Sonstige Gebiete";".";".";".";".";".";".";".";".";".";".";".";".";"59";"60";"64";"35";"35";"6";"3";"1";"1";"1";"1";"";"";"2";"1";"";"";"1";"";"";"";"";"";"";"";"";"";
;"       Sozialhygiene";".";".";".";".";".";".";".";".";".";".";".";".";"6";"3";"4";"3";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;"       Sportmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"40";"34";"28";"13";"4";"";"1";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";
;"       Sonstige Facharztbezeichnungen";".";".";".";".";".";".";".";".";".";".";".";".";"13";"23";"32";"19";"30";"6";"2";"1";"1";"1";"1";"";"";"2";"1";"";"";"";"";"";"";"";"";"";"";"";"";
;"    Ohne Gebiet";".";".";".";".";".";".";".";".";".";".";".";".";"64.629";"66.457";"67.318";"68.718";"67.898";"66.784";"63.673";"60.962";"57.882";"56.334";"54.391";"51.999";"51.042";"51.334";"49.728";"51.694";"52.556";"54.526";"56.223";"58.678";"61.326";"62.497";"66.966";"69.616";"69.526";"71.272";"72.422";
;"       Ohne Facharztbezeichnung";".";".";".";".";".";".";".";".";".";".";".";".";"64.329";"65.910";"66.475";"67.128";"65.593";"64.682";"62.266";"60.137";"57.446";"56.119";"54.314";"51.973";"51.029";"51.318";"49.724";"51.687";"52.553";"54.525";"56.223";"58.678";"61.326";"62.497";"66.966";"69.616";"69.526";"71.272";"72.422";
;"       Praktische Ärztin/Praktischer Arzt";".";".";".";".";".";".";".";".";".";".";".";".";"300";"547";"843";"1.590";"2.305";"2.102";"1.407";"825";"436";"215";"77";"26";"13";"16";"4";"7";"3";"1";"";"";"";"";"";"";"";"";"";
"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";".";".";".";".";".";".";".";".";".";".";".";"44.778";"46.081";"47.736";"49.554";"52.396";"54.874";"57.387";"59.135";"59.942";"59.286";"57.917";"56.860";"55.325";"52.934";"50.091";"48.496";"46.287";"43.950";"43.015";"42.911";"43.804";"45.072";"46.926";"48.505";"48.593";"49.521";"51.305";
;"    Allgemeinmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"3.822";"3.705";"3.796";"4.033";"4.087";"4.339";"4.293";"4.164";"4.101";"3.962";"4.150";"4.341";"4.623";"4.775";"4.839";"4.307";"3.845";"3.221";"2.909";"2.666";"2.485";"2.332";"2.372";"2.269";"2.276";"2.243";"2.344";
